season,league,url
2018-2019,Premier League,https://fbref.com/en/comps/9/1889/schedule/2018-2019-Premier-League-Scores-and-Fixtures
2019-2020,Premier League,https://fbref.com/en/comps/9/3232/schedule/2019-2020-Premier-League-Scores-and-Fixtures
2020-2021,Premier League,https://fbref.com/en/comps/9/10728/schedule/2020-2021-Premier-League-Scores-and-Fixtures
2018-2019,Ligue 1,https://fbref.com/en/comps/13/2104/schedule/2018-2019-Ligue-1-Scores-and-Fixtures
2019-2020,Ligue 1,https://fbref.com/en/comps/13/3243/schedule/2019-2020-Ligue-1-Scores-and-Fixtures
2020-2021,Ligue 1,https://fbref.com/en/comps/13/10732/schedule/2020-2021-Ligue-1-Scores-and-Fixtures
2018-2019,Bundesliga,https://fbref.com/en/comps/20/2109/schedule/2018-2019-Bundesliga-Scores-and-Fixtures
2019-2020,Bundesliga,https://fbref.com/en/comps/20/3248/schedule/2019-2020-Bundesliga-Scores-and-Fixtures
2020-2021,Bundesliga,https://fbref.com/en/comps/20/10737/schedule/2020-2021-Bundesliga-Scores-and-Fixtures
2018-2019,Serie A,https://fbref.com/en/comps/11/1896/schedule/2018-2019-Serie-A-Scores-and-Fixtures
2019-2020,Serie A,https://fbref.com/en/comps/11/3260/schedule/2019-2020-Serie-A-Scores-and-Fixtures
2020-2021,Serie A,https://fbref.com/en/comps/11/10730/schedule/2020-2021-Serie-A-Scores-and-Fixtures
2018-2019,La Liga,https://fbref.com/en/comps/12/1886/schedule/2018-2019-La-Liga-Scores-and-Fixtures
2019-2020,La Liga,https://fbref.com/en/comps/12/3239/schedule/2019-2020-La-Liga-Scores-and-Fixtures
2020-2021,La Liga,https://fbref.com/en/comps/12/10731/schedule/2020-2021-La-Liga-Scores-and-Fixtures
2021-2022,Premier League,https://fbref.com/en/comps/9/schedule/Premier-League-Scores-and-Fixtures
2021-2022,La Liga,https://fbref.com/en/comps/12/schedule/La-Liga-Scores-and-Fixtures
2021-2022,Ligue 1,https://fbref.com/en/comps/13/schedule/Ligue-1-Scores-and-Fixtures
2021-2022,Bundesliga,https://fbref.com/en/comps/20/schedule/Bundesliga-Scores-and-Fixtures
2021-2022,Serie A,https://fbref.com/en/comps/11/schedule/Serie-A-Scores-and-Fixtures
2017-2018,Premier League,https://fbref.com/en/comps/9/1631/schedule/2017-2018-Premier-League-Scores-and-Fixtures
2017-2018,Ligue 1,https://fbref.com/en/comps/13/1632/schedule/2017-2018-Ligue-1-Scores-and-Fixtures
2017-2018,Bundesliga,https://fbref.com/en/comps/20/1634/schedule/2017-2018-Bundesliga-Scores-and-Fixtures
2017-2018,Serie A,https://fbref.com/en/comps/11/1640/schedule/2017-2018-Serie-A-Scores-and-Fixtures
2017-2018,La Liga,https://fbref.com/en/comps/12/1652/schedule/2017-2018-La-Liga-Scores-and-Fixtures
2021-2022,Champions League,https://fbref.com/en/comps/8/schedule/Champions-League-Scores-and-Fixtures
2020-2021,Champions League,https://fbref.com/en/comps/8/10096/schedule/2020-2021-Champions-League-Scores-and-Fixtures
2019-2020,Champions League,https://fbref.com/en/comps/8/2900/schedule/2019-2020-Champions-League-Scores-and-Fixtures
2018-2019,Champions League,https://fbref.com/en/comps/8/2102/schedule/2018-2019-Champions-League-Scores-and-Fixtures
2021-2022,Europa League,https://fbref.com/en/comps/19/schedule/Europa-League-Scores-and-Fixtures
2020-2021,Europa League,https://fbref.com/en/comps/19/10097/schedule/2020-2021-Europa-League-Scores-and-Fixtures
2019-2020,Europa League,https://fbref.com/en/comps/19/2901/schedule/2019-2020-Europa-League-Scores-and-Fixtures
2018-2019,Europa League,https://fbref.com/en/comps/19/2103/schedule/2018-2019-Europa-League-Scores-and-Fixtures


